,,Start or Timeframe,,,End,,,,,,,,This1,This2,This3
Jihad Plot Sourcebook - Jihad Hot Spots - Terra,19,3076,1,21,,,,The Kaumberg Archonette puts Lindon Ashley and a handful of his key lieutenants on trial for crimes against the Kaumberg Archonette and the Lyran Alliance.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,55,3077,1,21,,,,"The Lyran front of SCOUR opens under the command of Duke Robert Kelswa-Steiner, liberating Cor Caroli in under a week, and advances on Gacrux.",,,,,,,
Era Report 3145,23,3144,1,21,,,,"Rasalhague Dominion extends its protec tion to Lyran worlds cut off by the Falcon OZ. Several clashes with the Falcons follow, resulting in the Falcons taking Ganshoren, Symington, Corridan IV, and Yed Posterior.",,,,,,,
Field Manual - 3145,25,3144,1,21,,,,"Rasalhague Dominion extends its protection to Lyran worlds cut off by the Falcon OZ. Several clashes with the Falcons follow, resulting in the Falcons taking Ganshoren, Symington, Corridan IV, and Yed Posterior.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,50,3073,1,22,,,,"During the long-anticipated international summit meeting between Lyran, FedSuns, Combine, Clan, and ComStar leaders, a sophisticated suicide bomb implanted within Fritz Donner—a key witness to Blakist operations within the Blake Protectorate—is detonated, killing and injuring many of the assembled delegates and paralyzing allied coordination efforts against the Word.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,25,3073,1,22,,,,"During the long-anticipated international summit meeting between Lyran, FedSuns, Combine, Clan, and ComStar leaders, a sophisticated suicide bomb implanted within Fritz Donner—a key witness to Blakist operations within the Blake Protectorate—is detonated, killing and injuring many of the assembled delegates and paralyzing allied coordination efforts against the Word.",,,,,,,
Historical - Wars of the Republic Era,15,3100,1,22,,,,Archon Adam Steiner makes exterminating the Brotherhood of Cincinnatus his top priority.,,,,,,,
Era Digest: Dark Age,10,3133,1,22,,,,Spirit Cats drive Bannson’s Raiders o? of Ozawa.,,,,,,,
Era Report 3145,24,3145,1,22,,,,"At a mustering point on Canonbie, Trillian Steiner faces increasing dissatisfaction from the LCAF High Command.",,,,,,,
Field Manual - 3145,25,3145,1,22,,,,"At a mustering point on Canonbie, Trillian Steiner faces increasing dissatisfaction from the LCAF High Command.",,,,,,,
Historical - Liberation of Terra II,124,2777,1,23,,,,Operation LIBERATION begins,,,,,,,
House Book House Davion,49,2777,1,23,,,,SLDF begins assault on Terra.,,,,,,,
Historical - Operation Klondike,102,2793,1,23,,,,The first colony on Strana Mechty is established,,,,,,,
Field Manual - Update,13,3067,1,23,,,,Taurian assault into the Federated Suns,,,,,,,
House Book House Davion,83,3067,1,23,,,,Taurian assault on Federated Suns begins.,,,,,,,
House Book House Davion,37,2527,1,24,,,,Alexander Davion comes of age and begins his campaign to retake the Federated Suns.,,,,,,,
House Book House Davion,49,2600,1,24,,,,Alexander Davion dies and is succeeded by his greatgrandson Zane Davion.,,,,,,,
Era Report 3145,25,3145,1,24,,,,Syrtis Avengers abandon Royalston to return to New Syrtis.,,,,,,,
Field Manual - 3145,25,3145,1,24,,,,Syrtis Avengers abandon Royalston to return to New Syrtis.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,60,3081,1,25,,,,Clan Diamond Shark launches a reorganization effort at its various mercantile outposts.,,,,,,,
Era Report 3145,25,3145,1,25,,,,Death Commando raid captures Amanda Hasek.,,,,,,,
Field Manual - 3145,25,3145,1,25,,,,Death Commando raid captures Amanda Hasek.,,,,,,,
Era Report 2750,13,2588,1,26,,,,Rim Worlds Warships attack SLDF transports at Newtown Square.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,45,3069,1,26,,,,"Capellan counterattacks have by this point reclaimed several worlds seized during Duke Hasek’s SOVEREIGN JUSTICE campaign. With the fall of Kittery, the central prong of Hasek’s invasion has also been choked off and FedSuns forces begin to fall back further.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3072,12,3069,1,26,,,,"Capellan counterattacks have by this point reclaimed several worlds seized during Duke Hasek’s Sovereign Justice campaign. With the fall of Kittery, the central prong of Hasek’s invasion has also been choked off and FedSuns forces begin to fall back further.",,,,,,,
Field Manual - Update,9,3061,1,27,,,,First shots in Capellan Confederation/St. Ives Compact War fired,,,,,,,
House Book House Davion,83,3061,1,27,,,,St. Ives/Capellan War begins.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,48,3071,1,27,,,,"Magestrix Naomi Centrella gives birth to Daoshen Liao(-Centrella). As the first legitimate child born of the union between Chancellor Sun-Tzu Liao and Magestrix Centrella, Daoshen is named heir to the Capellan Confederation, slating the couple’s older child, Ilsa Centrella(-Liao), for the Canopian throne.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,11,3071,1,27,,,,"Magestrix Naomi Centrella gives birth to Daoshen Liao(-Centrella). As the first legitimate child born of the union between Chancellor Sun-Tzu Liao and Magestrix Centrella, Daoshen is named heir to the Capellan Confederation, slating the couple’s older child, Ilsa Centrella(-Liao), for the Canopian throne.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,50,3073,1,27,,,,"In the Draconis Combine, a fresh purge of the Black Dragon Society nets officials as high as the Abbess of the Order of the Five Pillars.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,25,3073,1,27,,,,"In the Draconis Combine, a fresh purge of the Black Dragon Society nets officials as high as the Abbess of the Order of the Five Pillars.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,52,3075,1,27,,,,"The Word of Blake’s Fiftieth Shadow Division raids Aur, shattering the Edasich Motors facilities.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - Terra,13,3075,1,27,,,,"The Word of Blake’s 50th Shadow Division raids Aur, shattering the Edasich Motors facilities.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,57,3078,1,27,,,,The Azami Brotherhood receives the news of the slaughter on Korramabad and dispatches the Arkab Legions there.,,,,,,,
Jihad Plot Sourcebook - Blake Ascending,173,3068,1,28,,,,"Theodore Kurita suffers a stroke and falls into a coma while planning a campaign to reclaim Luthien. Hohiro Kurita, on Orestes at the time, does not immediately claim the throne. Blakist Warships use coordinated orbital bombardment to cripple or destroy all Com Guard troops stationed on Tukayyid, as well as any SLDF units that rise to their defense.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,44,3068,1,28,,,,"Theodore Kurita suffers a stroke and falls into a coma while planning a campaign to reclaim Luthien. Hohiro Kurita, on Orestes at the time, does not immediately claim the throne. Blakist Warships use coordinated orbital bombardment to cripple or destroy all Com Guard troops stationed on Tukayyid, as well as any SLDF units that rise to their defense.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,48,3071,1,28,,,,"In an apparent act of spite aimed at the retreating Blackhearts mercenary command, Word of Blake forces on Wasat detonate a nuclear weapon in the capital city, killing an estimated 30,000 civilians.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,11,3071,1,28,,,,"In an apparent act of spite aimed at the retreating Blackhearts mercenary command, Word of Blake forces on Wasat detonate a nuclear weapon in the capital city, killing an estimated 30,000 civilians.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,54,3076,1,28,,,,"Reputed elements of the Black Heart Roses mercenary command break Captain Carmichael out of prison on Niops, sparking a battle between NAM forces and the Roses.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - Terra,19,3076,1,28,,,,"Reputed elements of the Black Heart Roses mercenary command break Captain Carmichael out of prison on Niops, sparking a battle between NAM forces and the Roses.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,59,3079,1,28,,,,"The last assembly of the Free Worlds League Parliament is held on Atreus. Of the 83 votes tallied, 75 choose to disband the confederation of member states, officially dissolving the realm.",,,,,,,
Era Digest: Golden Century,8,2802,1,29,,,,The last of Nicholas Kerensky’s Exodus fleet leaves the Pentagon worlds,,,,,,,
Era Report 2750,31,2719,1,30,,,,Star League Directive 40 Instituted: Allowed member states to construct SDS systems. One of a handful of directives passed without the First Lord’s support.,,,,,,,
Historical - Liberation of Terra II,124,2777,1,30,,,,start of Terran landings,,,,,,,
Historical - Liberation of Terra II,124,2787,1,30,,,,Kenyon Marik declares himself First Lord,,,,,,,
House Book House Davion,61,2823,1,30,,,,"Prince Paul accedes to Liao’s demands, freeing the POWs.",,,,,,,
Era Report 3062,14,3056,1,30,,,,"Trent and a group of solahma warriors defeat an Explorer Corps force at Pivot Prime, unknowingly close to the Clan homeworlds.",,,,,,,
Era Report 3062,24,3058,1,30,,,,"In an effort to both blood young warriors and assert the Clan’s strength, the Jade Falcons invade the Lyran Aliiance.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,52,3075,1,30,,,,"As suddenly as they arrived, the Ghost Bear forces on Luthien and Pesht depart from both Combine worlds, even as the nearest available DCMS commands scramble to fortify them.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - Terra,13,3075,1,30,,,,"As suddenly as they arrived, the Ghost Bear forces on Luthien and Pesht depart from both Combine worlds, even as the nearest available DCMS commands scramble to fortify them.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,55,3077,1,30,,,,"Acting independently, the Capellan Confederation liberates Genoa from the Word of Blake, and launches an assault on Arboris.",,,,,,,
Dark Age - Shattered Fortress,100,3148,1,30,,,,"LCAF reinforcements on Ayacucho break the stalemate, and Warlord Widmer is captured on Buena. Many surrendering Buena Collective troops are granted amnesty.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,48,3071,1,31,,,,"In the fringes of Lyran space, the Democracy Now movement led by Kalvin Strauss moves to establish the Alarion Province as a democratic stronghold, with Novara as its center.",,,,,,,
Era Report 3145,25,3145,1,31,,,,Daoshen Liao arrives on New Syrtis to person ally oversee the trial and execution of Amanda Hasek.,,,,,,,
Field Manual - 3145,25,3145,1,31,,,,Daoshen Liao arrives on New Syrtis to personally oversee the trial and execution of Amanda Hasek.,,,,,,,
Historical - Wars of the Republic Era,16,3145,1,31,,,,Chancellor Daoshen Liao arrives on New Syrtis to personally oversee the trial and execution of Duchess Amanda Hasek.,,,,,,,
Era Digest: Dark Age,10,3132,1,Early,,,,Senate holds DiNapoli Hearings regarding Jacob Bannson’s attempts to purchase the company.,,,,,,,
House Book - Star League,9,2023,1,,,,,"The Asian Co-Prosperity Sphere announces a naval blockade of Japan to ""better present its case to the Japanese people, free from the influence of Western venom-spreaders."" The heavy pacifism of the Japanese leads them to decide not to fight the blockade unless absolutely necessary.",,,,,,,
Era Digest: Age of War,7,2412,1,,,,,A League assault on the Capellan planet of Tintavel leads to hundreds of thousands of civilian casualties,,,,,,,
Era Report 2750,12,2578,1,,,,,The MAF launches multiple attacks against SLEF and FWL depots.,,,,,,,
Handbook House Liao,24,2630,1,,,,,First hyperpulse generator (HPG) comes online; it quickly becomes one of history’s most important scientifc discoveries.,,,,,,,
Historical - Operation Klondike,100,2766,1,,,,,General Kerensky redeploys the majority of the SLDF into the Periphery to put down the Periphery Uprising,,,,,,,
Historical - Liberation of Terra I,30,2767,1,,,,,Stefan Amaris proclaims himself emperor. Kerensky retakes New Vandenberg.,,,,,,,
Historical - Operation Klondike,101,2777,1,,,,,Operation LIBERATION begins—the SLDF jumps into the Terra system,,,,,,,
Historical - First Succession War,114,2786,1,,,,,"SLCOMNET renamed ComStar, introduces ComStar Letter of Credit",,,,,,,
Era Digest: Golden Century,8,2787,1,,,,,Exodus forces capture a Rim Worlds Jumpship and learn of the deteriorating situation in the Inner Sphere,,,,,,,
Historical - First Succession War,114,2787,1,,,,,Kenyon Marik declares himself First Lord of the Star League,,,,,,,
Historical - Operation Klondike,102,2787,1,,,,,SLDF-in-Exile captures a Rim Worlds Republic ship and learns of the deteriorating situation in the Inner Sphere,,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",30,2787,1,,,,,Kerensky's forces capture a Rim Worlds Republic ship and learn of the deteriorating situation in the Inner Sphere.,,,,,,,
Handbook House Steiner,37,2788,1,,2788,2,,"Under command of General Amanda Lestrade, Commonwealth forces launch frst major raiding campaigns against key industrial worlds along the Free Worlds League border.",,,,,,,
Historical - First Succession War,114,2788,1,,2788,2,,LCAF begins raiding Free Worlds League,,,,,,,
Historical - First Succession War,114,2788,1,,,,,DCMS forces withdraw from Hesperus II,,,,,,,
Historical - First Succession War,114,2789,1,,,,,"CCAF forces invade New Delos, massacre thousands",,,,,,,
Historical - First Succession War,114,2790,1,,,,,Federated Suns begins naval counterattack against DCMS advance,,,,,,,
House Book House Davion,55,2790,1,,,,,"At the head of a massive fleet, Admiral Kenneth Jones launches a naval counterattack against the DCMS.",,,,,,,
Handbook House Steiner,37,2791,1,,,,,"As LCAF o?ensives falter on all fronts, Archon Richard Steiner replaces General of the Armies Paul Steiner with Duke Graham Kelswa of Carse. Kelswa assumes command of Combine front as General Steiner focuses on former Hegemony border regions.",,,,,,,
House Book House Davion,55,2796,1,,,,,Battle of New Rhodes III; the AFFS is energized by this victory and the DCMS loses signifcant supply stores; Kentares IV is chosen as location for a new DCMS supply dump.,,,,,,,
Historical - First Succession War,115,2797,1,,,,,LCAF completes capture of Kamenz,,,,,,,
Historical - First Succession War,115,2801,1,,,,,Last survivors of the Tamar Tigers are destroyed on Benjamin,,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",30,2802,1,,,,,The last ships of Nicholas ' Exodus leave the Pentagon.,,,,,,,
Historical - First Succession War,116,2807,1,,2807,7,,"First AFFS Counteroffensive campaign ends with reclamation of Castleton from CCAF, and Evansville, Rowe, and Sun Prairie from DCMS",,,,,,,
Historical - First Succession War,116,2809,1,,2809,4,,"Second Federated Suns counter-offensive begins, targeting remaining DCMS-occupied worlds in Crucis March",,,,,,,
Historical - First Succession War,116,2810,1,,,,,LCAF repulsed from Acrux after three-month battle,,,,,,,
Historical - First Succession War,116,2820,1,,,,,LCAF establishes garrison on Solaris VII,,,,,,,
Historical - Second Succession War,80,2827,1,,,,,"The Lyran free trader Chahar Profit, loaded with food for the border world of Chandler, misjumps into the Darius system and is captured by Combine forces",,,,,,,
Historical - Second Succession War,80,2828,1,,,,,Combine troops attack Chandler and destroy local food and water storage houses in reprisal for the Commonwealth raid on Darius,,,,,,,
